PLAYER_ID,PLAYER_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TOV_PCT,E_USG_PCT,E_PACE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,E_DEF_RATING_RANK,E_NET_RATING_RANK,E_AST_RATIO_RANK,E_OREB_PCT_RANK,E_DREB_PCT_RANK,E_REB_PCT_RANK,E_TOV_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK
1641767,Ben Sheppard,33,16,17,0.485,10.8,113.1,116.2,-3.1,17.5,0.021,0.121,0.069,5.092,0.131,105.78,297,260,290,301,380,223,393,325,261,404,326,380,51,439,36
1628398,Kyle Kuzma,52,9,43,0.173,31.7,109.6,119.1,-9.5,15.4,0.031,0.182,0.106,9.787,0.304,105.73,65,349,532,479,73,327,475,439,320,321,138,187,51,16,37
1631159,Leonard Miller,7,6,1,0.857,3.7,92.7,103.7,-11.0,20.0,0.04,0.45,0.222,6.667,0.203,105.68,472,403,13,14,500,509,50,453,191,266,4,10,51,160,38
1629670,Jordan Nwora,28,10,18,0.357,11.0,111.1,118.9,-7.8,16.8,0.045,0.159,0.099,9.983,0.21,105.61,341,330,320,402,379,278,471,413,281,241,176,216,51,142,39
1630572,Sandro Mamukelashvili,30,6,24,0.2,6.5,105.2,106.4,-1.2,24.9,0.093,0.205,0.145,7.375,0.17,105.6,322,403,410,465,455,439,71,270,108,92,104,98,51,272,40
1630639,A.J. Lawson,27,15,12,0.556,8.5,113.8,107.4,6.5,11.3,0.045,0.096,0.069,8.669,0.178,105.59,344,270,184,228,419,195,91,99,437,240,423,378,51,245,41
1631098,Johnny Davis,23,2,21,0.087,7.9,107.0,107.2,-0.3,9.3,0.05,0.074,0.061,7.991,0.152,105.58,358,469,365,514,428,391,87,243,478,213,484,426,51,356,42
1630543,Isaiah Jackson,43,26,17,0.605,13.7,112.1,113.7,-1.6,13.5,0.128,0.223,0.176,10.752,0.175,105.53,202,119,290,166,331,246,311,283,377,43,70,48,51,252,43
1630164,James Wiseman,35,3,32,0.086,14.1,108.3,121.1,-12.8,10.6,0.114,0.207,0.159,14.42,0.157,105.45,280,448,497,515,324,364,506,477,448,59,101,78,51,340,44
203081,Damian Lillard,51,35,16,0.686,34.9,118.7,111.9,6.8,22.4,0.018,0.107,0.064,8.435,0.28,105.21,85,26,258,75,24,51,227,92,144,431,385,410,51,37,45
1629027,Trae Young,50,22,28,0.44,36.5,116.1,118.3,-2.2,28.7,0.013,0.071,0.041,11.342,0.303,105.18,98,188,462,344,7,129,452,298,64,477,489,512,51,17,46
1630608,Malcolm Cazalon,1,0,1,0.0,2.6,174.1,120.0,54.1,0.0,0.0,0.0,0.0,0.0,0.0,105.17,529,520,13,520,527,2,491,4,515,499,518,526,1,535,47
