gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0022300051,1610612744,Golden State,Warriors,GSW,warriors,1630541,Moses,Moody,M. Moody,moses-moody,G,,,16:54,99.5,100.0,108.1,110.3,-8.7,-10.3,0.1,0.5,12.5,0.133,0.111,0.121,25.0,1.125,0.922,0.179,0.179,109.29,107.93,89.94,37.0,0.116
0022300051,1610612744,Golden State,Warriors,GSW,warriors,201939,Stephen,Curry,S. Curry,stephen-curry,G,,,34:49,109.6,110.3,102.1,103.8,7.4,6.5,0.333,1.0,17.1,0.0,0.073,0.043,17.1,0.725,0.773,0.341,0.347,109.44,108.22,90.19,78.0,0.199
0022300051,1610612744,Golden State,Warriors,GSW,warriors,101108,Chris,Paul,C. Paul,chris-paul,,,,28:58,117.3,117.9,94.7,96.9,22.6,21.0,0.435,10.0,58.8,0.0,0.152,0.085,5.9,0.417,0.417,0.092,0.097,110.92,109.37,91.14,67.0,0.111
0022300051,1610612744,Golden State,Warriors,GSW,warriors,203967,Dario,Saric,D. Saric,dario-saric,,,,26:18,122.7,123.7,98.9,103.4,23.8,20.3,0.25,1.33,21.1,0.1,0.172,0.143,15.8,0.818,0.842,0.231,0.24,109.63,106.78,88.98,59.0,0.186
0022300051,1610612744,Golden State,Warriors,GSW,warriors,1630228,Jonathan,Kuminga,J. Kuminga,jonathan-kuminga,,,,20:14,104.5,106.8,107.2,109.1,-2.7,-2.3,0.167,2.0,18.2,0.0,0.048,0.025,9.1,0.786,0.761,0.188,0.192,106.42,104.38,86.99,44.0,0.118
0022300051,1610612744,Golden State,Warriors,GSW,warriors,1627780,Gary,Payton II,G. Payton II,gary-payton-ii,,,,18:30,103.6,104.9,94.5,100.0,9.1,4.9,0.0,0.0,0.0,0.0,0.125,0.079,40.0,0.667,0.667,0.109,0.115,112.92,108.97,90.81,41.0,0.022
0022300051,1610612744,Golden State,Warriors,GSW,warriors,1641764,Brandin,Podziemski,B. Podziemski,brandin-podziemski,,,,11:46,96.6,100.0,96.2,100.0,0.4,0.0,0.2,2.0,25.0,0.071,0.125,0.1,12.5,0.0,0.0,0.207,0.215,105.82,101.98,84.99,25.0,-0.03
0022300051,1610612744,Golden State,Warriors,GSW,warriors,1631218,Trayce,Jackson-Davis,T. Jackson-Davis,trayce-jackson-davis,,,,5:23,123.0,125.0,100.0,107.7,23.0,17.3,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.532,0.25,0.246,116.8,111.46,92.88,12.0,-0.018
0022300051,1610612744,Golden State,Warriors,GSW,warriors,203110,Draymond,Green,D. Green,draymond-green,,DNP - League Suspension,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022300051,1610612744,Golden State,Warriors,GSW,warriors,202709,Cory,Joseph,C. Joseph,cory-joseph,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022300051,1610612744,Golden State,Warriors,GSW,warriors,1630611,Gui,Santos,G. Santos,gui-santos,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
