GAME_ID,GAME_DATE,HOME_TEAM_ID,VISITOR_TEAM_ID,HOME_TEAM_NAME,VISITOR_TEAM_NAME,HOME_TEAM_ABBREVIATION,VISITOR_TEAM_ABBREVIATION,HOME_TEAM_NICKNAME,VISITOR_TEAM_NICKNAME,GAME_TIME,HOME_WL,VISITOR_WL
0022301194,"APR 14, 2024",1610612750,1610612756,Minnesota,Phoenix,MIN,PHX,Timberwolves,Suns,03:30 PM,56-25,48-33
0022301196,"APR 14, 2024",1610612760,1610612742,Oklahoma City,Dallas,OKC,DAL,Thunder,Mavericks,03:30 PM,56-25,50-31
0022301193,"APR 14, 2024",1610612763,1610612743,Memphis,Denver,MEM,DEN,Grizzlies,Nuggets,03:30 PM,27-54,56-25
0022301199,"APR 14, 2024",1610612746,1610612745,LA Clippers,Houston,LAC,HOU,Clippers,Rockets,03:30 PM,51-30,40-41
0022301195,"APR 14, 2024",1610612740,1610612747,New Orleans,L.A. Lakers,NOP,LAL,Pelicans,Lakers,03:30 PM,49-32,46-35
0022301194,"APR 14, 2024",1610612750,1610612756,Minnesota,Phoenix,MIN,PHX,Timberwolves,Suns,03:30 PM,56-25,48-33
0022301200,"APR 14, 2024",1610612758,1610612757,Sacramento,Portland,SAC,POR,Kings,Trail Blazers,03:30 PM,45-36,21-60
0022301198,"APR 14, 2024",1610612744,1610612762,Golden State,Utah,GSW,UTA,Warriors,Jazz,03:30 PM,45-36,31-50
0022301195,"APR 14, 2024",1610612740,1610612747,New Orleans,L.A. Lakers,NOP,LAL,Pelicans,Lakers,03:30 PM,49-32,46-35
0022301186,"APR 14, 2024",1610612738,1610612764,Boston,Washington,BOS,WAS,Celtics,Wizards,01:00 PM,63-18,15-66
0022301187,"APR 14, 2024",1610612739,1610612766,Cleveland,Charlotte,CLE,CHA,Cavaliers,Hornets,01:00 PM,48-33,20-61
0022301191,"APR 14, 2024",1610612753,1610612749,Orlando,Milwaukee,ORL,MIL,Magic,Bucks,01:00 PM,46-35,49-32
0022301190,"APR 14, 2024",1610612752,1610612741,New York,Chicago,NYK,CHI,Knicks,Bulls,01:00 PM,49-32,39-42
0022301192,"APR 14, 2024",1610612755,1610612751,Philadelphia,Brooklyn,PHI,BKN,76ers,Nets,01:00 PM,46-35,32-49
0022301189,"APR 14, 2024",1610612748,1610612761,Miami,Toronto,MIA,TOR,Heat,Raptors,01:00 PM,45-36,25-56
